,index,Unnamed: 0,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime,maker,Phone/Problems,Great/Price/Happy,Speed/Camera/Video,Samsung/Movies/Music,Memory/Love,Photos,Camera/Video,date
0,1336614,1336614,B007WTAJTO,"[0, 0]",4,No issues.,"07 23, 2014",A3SBTW3WS4IQSN,,Four Stars,1406073600,sandisk,0.071428573204999,0.07150628507020639,0.07182374713446436,0.5706258690517183,0.07163326477942907,0.07142857301774203,0.07155368774144087,07/23/2014
1,1336615,1336615,B007WTAJTO,"[0, 0]",5,"Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.","10 25, 2013",A18K1ODH1I2MVB,0mie,MOAR SPACE!!!,1382659200,sandisk,0.14485790578154495,0.010993643975761837,0.12577830853896482,0.6852718284343442,0.011012746861213145,0.011042349176293407,0.011043217231877648,10/25/2013
2,1336616,1336616,B007WTAJTO,"[0, 0]",4,it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,"12 23, 2012",A2FII3I2MBMUIA,1K3,nothing to really say....,1356220800,sandisk,0.011908759335513884,0.18537100977847984,0.011930798957885114,0.754989285897127,0.011936399642813332,0.011923677947975645,0.011940068440205249,12/23/2012
3,1336617,1336617,B007WTAJTO,"[0, 0]",5,"This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!","11 21, 2013",A3H99DFEG68SR,1m2,Great buy at this price!!!  *** UPDATE,1384992000,sandisk,0.007944887801016067,0.007964604856333586,0.007948114746433397,0.00795213241030294,0.12022134903082535,0.007943535526235479,0.8400253756288532,11/21/2013
4,1336618,1336618,B007WTAJTO,"[0, 0]",5,"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card","07 13, 2013",A375ZM4U047O79,2&amp;1/2Men,best deal around,1373673600,sandisk,0.6736247905330756,0.005321213970223536,0.005302506769969851,0.005302332847519594,0.06423599013266036,0.005311392188178272,0.24090177355837272,07/13/2013
5,1336619,1336619,B007WTAJTO,"[0, 0]",5,It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,"04 29, 2013",A2IDCSC6NVONIZ,2Cents!,Not a lot to really be said,1367193600,sandisk,0.9590658207119838,0.006808633082724417,0.006812759679041048,0.006805914599611809,0.006806331794672555,0.006847072777588646,0.0068534673543775146,04/29/2013
6,1336620,1336620,B007WTAJTO,"[0, 0]",5,I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,"10 19, 2013",A26YHXZD5UFPVQ,2K1Toaster,Works well,1382140800,sandisk,0.6214665901261864,0.004773538337341448,0.004792214125258593,0.004783790204156203,0.19186815861808984,0.004771327780301575,0.16754438080866604,10/19/2013
7,1336621,1336621,B007WTAJTO,"[0, 0]",5,It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,"07 10, 2014",A3CW0ZLUO5X2B1,"35-year Technology Consumer ""8-tracks to 802.11""",32 GB for less than two sawbucks...what's not to like?,1404950400,sandisk,0.00680922117088442,0.1431673384468905,0.27894774392433763,0.05560546077501386,0.006818868761361891,0.006829276871318868,0.5018220900501928,07/10/2014
8,1336622,1336622,B007WTAJTO,"[1, 1]",5,"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.","03 24, 2014",A2CYJO155QP33S,4evryoung,Loads of room,1395619200,sandisk,0.012992627627172357,0.013058959123496387,0.32706141895082536,0.4358360610855065,0.013004588197796109,0.012997983332415967,0.1850483616827873,03/24/2014
9,1336623,1336623,B007WTAJTO,"[0, 0]",5,"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though","10 11, 2013",A2S7XG3ZC4VGOQ,53rdcard,works great,1381449600,sandisk,0.3902751749501807,0.13446855748006006,0.011007698075769085,0.010995408212919621,0.13895548802010016,0.11617825022529008,0.19811942303568042,10/11/2013
